Airport Code	Description of Airport	City Name	State	USDA Compliance Agreement in Place and Eligible for Precleared Arrivals
KMYR	Myrtle Beach International Airport	Myrtle Beach	South Carolina	No
KFSD	Sioux Falls Regional Airport	Sioux Falls	South Dakota	Yes
KTRI	Tri-Cities Regional Airport	Blountsville	Tennessee	Yes
KCHA	Chattanooga Metropolitan Airport (Lovell Field)	Chattanooga	Tennessee	Yes
KTYS	McGhee Tyson Airport	Knoxville	Tennessee	Yes
KMEM	Memphis International Airport	Memphis	Tennessee	Yes
KBNA	Nashville International Airport	Nashville	Tennessee	Yes
KAMA	Rick Husband Amarillo International Airport	Amarillo	Texas	Yes
KAUS	Austin-Bergstrom International Airport	Austin	Texas	Yes
KBRO	Brownsville International Airport	Brownsville	Texas	Yes
KCXO	North Houston Regional Airport	Conroe	Texas	Yes
KCRP	Corpus Christi International Airport	Corpus Christi	Texas	Yes
KADS	Addison Airport	Dallas	Texas	Yes
KDAL	Dallas Love Field	Dallas	Texas	Yes
KDFW	Dallas/Fort Worth International Airport	Dallas	Texas	Yes
KDRT	Del Rio International Airport	Del Rio	Texas	No
K5T9	Maverick County Airport	Eagle Pass	Texas	No
KEBG	South Texas International Airport	Edinburg	Texas	No
KELP	El Paso International Airport	El Paso	Texas	Yes
KBIF	Ft. Bliss/Biggs Army Air Field	El Paso	Texas	Yes
KAFW	Fort Worth Alliance Airport	Fort Worth	Texas	Yes
KFTW	Fort Worth Meacham International Airport	Fort Worth	Texas	Yes
KGLS	Scholes International Airport at Galveston	Galveston	Texas	Yes
KHRL	Valley International Airport	Harlingen	Texas	Yes
KEFD	Ellington Field	Houston	Texas	Yes
KHOU	William P. Hobby Airport	Houston	Texas	Yes
KIAH	George Bush Intercontinental Airport	Houston	Texas	Yes
KLRD	Laredo International Airport	Laredo	Texas	Yes
KLBB	Lubbock Preston Smith International Airport	Lubbock	Texas	Yes
KMFE	McAllen International Airport	McAllen	Texas	Yes
KTKI	Collin County Regional Airport	McKinney	Texas	Yes
KMAF	Midland International Airport	Midland	Texas	Yes
KBPT	Jack Brooks Regional Airport	Port Arthur	Texas	No
KPRS	Presidio-Lely International Airport	Presidio	Texas	Yes
KSAT	San Antonio International Airport	San Antonio	Texas	Yes
KSKF	Kelly Field Annex	San Antonio	Texas	Yes
KSGR	Sugar Land Regional Airport	Sugar Land	Texas	Yes
KTXW	Mid-Valley International Airport	Weslaco	Texas	No
KSLC	Salt Lake City International Airport	Salt Lake City	Utah	Yes
KBTV	Burlington International Airport	Burlington	Vermont	Yes
TIST	Cyril E. King International Airport	Charlotte Amalie	Virgin Islands	Yes
TISX	Henry E. Rohlsen Airport	Christiansted	Virgin Islands	Yes
KJYO	Leesburg Executive Airport	Leesburg	Virginia	Yes
KHEF	Manassas Regional Airport	Manassas	Virginia	Yes
KPHF	Newport News/Williamsburg International Airport	Newport News	Virginia	Yes
KORF	Norfolk International Airport	Norfolk	Virginia	Yes
KRIC	Richmond International Airport	Richmond	Virginia	Yes
KIAD	Dulles International Airport	Sterling	Virginia	Yes
K74S	Anacortes Airport	Anacortes	Washington	No
KBLI	Bellingham International Airport	Bellingham	Washington	No
KBVS	Skagit Regional Airport	Burlington	Washington	No
KPAE	Snohomish County Airport - Paine Field	Everett	Washington	Yes
KFHR	Friday Harbor Airport	Friday Harbor	Washington	No
KHQM	Bowerman Field	Hoquiam	Washington	No
KS60	Kenmore Seaplane Base	Kenmore	Washington	No
K69S	Avey State Field Airport	Laurier	Washington	No
KMWH	Grant County International Airport	Moses Lake	Washington	Yes
KOLM	Olympia Regional Airport	Olympia	Washington	No
K0S7	Dorothy Scott Airport	Oroville	Washington	No
KCLM	William R Fairchild International Airport	Port Angeles	Washington	No
K0S9	Jefferson County International Airport	Port Townsend	Washington	No
KRNT	Renton Municipal Airport, Clayton Scott Field	Renton	Washington	No
KWA47	Will Rogers-Wiley Post Memorial Seaplane Base	Renton	Washington	No
KBFI	King County International Airport-Boeing Field	Seattle	Washington	Yes
KLKE	Lake Union Air Service (Seaplanes)	Seattle	Washington	No
KSEA	Seattle-Tacoma International Airport	Seattle	Washington	No
KGEG	Spokane International Airport	Spokane	Washington	Yes
KSFF	Felts Field Airport	Spokane	Washington	No
KTIW	Tacoma Narrows Airport	Tacoma	Washington	No
KCRW	Yeager Airport	Charleston	West Virginia	Yes
KHTS	Huntington Tri-State Airport	Huntington	West Virginia	No
KGRB	Austin Straubel International Airport	Green Bay	Wisconsin	Yes
KATW	Appleton International Airport	Greenville	Wisconsin	Yes
KENW	Kenosha Regional Airport	Kenosha	Wisconsin	No
KMKE	Milwaukee Mitchell International Airport	Milwaukee	Wisconsin	Yes
KRAC	Batten International Airport	Racine	Wisconsin	Yes
KSBM	Sheboygan County Memorial Airport	Sheboygan	Wisconsin	No
KCPR	Natrona County International Airport	Casper	Wyoming	Yes
